Service Name,Display Name,Status,Start Type
AJRouter,AllJoyn Router Service,Stopped,Manual
ALG,Application Layer Gateway Service,Stopped,Manual
AppIDSvc,Application Identity,Stopped,Manual
Appinfo,Application Information,Running,Manual
AppMgmt,Application Management,Stopped,Manual
AppReadiness,App Readiness,Stopped,Manual
AppVClient,Microsoft App-V Client,Stopped,Disabled
AppXSvc,AppX Deployment Service (AppXSVC),Running,Manual
AssignedAccessManagerSvc,AssignedAccessManager Service,Stopped,Manual
AudioEndpointBuilder,Windows Audio Endpoint Builder,Running,Automatic
Audiosrv,Windows Audio,Running,Automatic
autotimesvc,Cellular Time,Stopped,Manual
AxInstSV,ActiveX Installer (AxInstSV),Stopped,Manual
BDESVC,BitLocker Drive Encryption Service,Stopped,Manual
BFE,Base Filtering Engine,Running,Automatic
BITS,Background Intelligent Transfer Service,Stopped,Manual
Bluetooth Device Monitor,Bluetooth Device Monitor,Running,Automatic
Bluetooth OBEX Service,Bluetooth OBEX Service,Running,Automatic
BrokerInfrastructure,Background Tasks Infrastructure Service,Running,Automatic
BTAGService,Bluetooth Audio Gateway Service,Stopped,Manual
BthAvctpSvc,AVCTP service,Running,Manual
bthserv,Bluetooth Support Service,Stopped,Manual
camsvc,Capability Access Manager Service,Running,Manual
CDPSvc,Connected Devices Platform Service,Running,Automatic
CertPropSvc,Certificate Propagation,Stopped,Manual
ClipSVC,Client License Service (ClipSVC),Running,Manual
cloudidsvc,Microsoft Cloud Identity Service,Stopped,Manual
COMSysApp,COM+ System Application,Stopped,Manual
CoreMessagingRegistrar,CoreMessaging,Running,Automatic
cphs,Intel(R) Content Protection HECI Service,Stopped,Manual
CryptSvc,Cryptographic Services,Running,Automatic
CscService,Offline Files,Stopped,Manual
DcomLaunch,DCOM Server Process Launcher,Running,Automatic
dcsvc,dcsvc,Stopped,Manual
defragsvc,Optimize drives,Stopped,Manual
DeviceAssociationService,Device Association Service,Running,Manual
DeviceInstall,Device Install Service,Stopped,Manual
DevQueryBroker,DevQuery Background Discovery Broker,Stopped,Manual
Dhcp,DHCP Client,Running,Automatic
diagnosticshub.standardcollector.service,Microsoft (R) Diagnostics Hub Standard Collector Service,Stopped,Manual
diagsvc,Diagnostic Execution Service,Stopped,Manual
DiagTrack,Connected User Experiences and Telemetry,Running,Automatic
DialogBlockingService,DialogBlockingService,Stopped,Disabled
DispBrokerDesktopSvc,Display Policy Service,Running,Automatic
DisplayEnhancementService,Display Enhancement Service,Running,Manual
DmEnrollmentSvc,Device Management Enrollment Service,Stopped,Manual
dmwappushservice,Device Management Wireless Application Protocol (WAP) Push message Routing Service,Stopped,Manual
Dnscache,DNS Client,Running,Automatic
DoSvc,Delivery Optimization,Running,Automatic
dot3svc,Wired AutoConfig,Stopped,Manual
DPS,Diagnostic Policy Service,Running,Automatic
